name,country,role,bowl_style,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr
umran malik,india,bowler,right-arm-fast,11,10.49,22.09,12.64,29,9.4,26.62,17.0
mayank markande,india,bowler,right-arm-legbreak,0,7.75,0.0,0.0,37,8.91,28.89,19.46
avesh khan,india,bowler,right-arm-fast,27,9.04,27.85,18.48,74,8.87,26.68,18.04
akash deep,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,7,11.67,45.57,23.43
shamar joseph,west indies,bowler,right-arm-fast,10,9.68,27.1,16.8,0,11.75,0.0,0.0
manimaran siddharth,india,bowler,left-arm-orthodox,0,0.0,0.0,0.0,1,7.89,71.0,54.0
akash maharaj singh,india,bowler,left-arm-fast-medium,0,0.0,0.0,0.0,5,9.87,45.4,27.6
deepak chahar,india,bowler,right-arm-fast-medium,31,8.3,24.1,17.42,77,7.98,28.84,21.68
lizaad williams,south africa,bowler,right-arm-fast-medium,20,9.5,24.55,15.5,1,12.0,72.0,36.0
reece topley,england,bowler,left-arm-fast-medium,33,8.31,29.64,21.39,5,10.71,36.4,20.4
karn sharma,india,bowler,right-arm-legbreak,1,7.0,28.0,24.0,76,8.38,27.46,19.67
yuzvendra chahal,india,bowler,right-arm-legbreak,96,8.19,25.09,18.38,205,7.84,22.45,17.18
arshdeep singh,india,bowler,left-arm-fast-medium,99,8.3,18.3,13.23,76,9.03,27.0,17.95
lockie ferguson,new zealand,bowler,right-arm-fast,64,7.1,16.98,14.36,46,8.96,31.0,20.76
vijaykumar vyshak,india,bowler,right-arm-medium,0,0.0,0.0,0.0,13,10.26,30.38,17.77
yash thakur,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,24,10.26,28.79,16.83
xavier bartlett,australia,bowler,right-arm-fast-medium,11,6.85,14.73,12.91,0,0.0,0.0,0.0
tushar deshpande,india,bowler,right-arm-fast-medium,2,9.33,28.0,18.0,42,9.65,29.6,18.4
maheesh theekshana,sri lanka,bowler,right-arm-offbreak,58,6.88,26.57,23.17,25,7.66,31.88,24.96
fazalhaq farooqi,afghanistan,bowler,left-arm-fast-medium,54,6.71,19.09,17.07,6,8.96,37.83,25.33
kwena maphaka,south africa,bowler,left-arm-fast-medium,3,9.98,56.0,33.67,1,14.83,89.0,36.0
akash madhwal,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,19,9.71,22.32,13.79
josh hazlewood,australia,bowler,right-arm-fast-medium,67,7.49,22.1,17.7,35,8.06,23.14,17.23
bhuvneshwar kumar,india,bowler,right-arm-fast-medium,90,6.96,23.1,19.9,181,7.56,27.23,21.6
rasikh dar salam,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,9,10.43,37.67,21.67
suyash sharma,india,bowler,right-arm-legbreak,0,0.0,0.0,0.0,10,8.65,37.2,25.8
nuwan thushara,sri lanka,bowler,right-arm-fast-medium,26,7.65,16.73,13.12,8,9.88,32.13,19.5
lungi ngidi,south africa,bowler,right-arm-fast,63,9.24,20.95,13.6,25,8.3,17.92,12.96
mohammed shami,india,bowler,right-arm-fast,27,8.95,28.19,18.89,127,8.44,26.86,19.1
harshal patel,india,bowler,right-arm-fast-medium,29,9.18,26.55,17.34,135,8.74,23.33,16.01
rahul chahar,india,bowler,right-arm-legbreak,7,7.59,23.86,18.86,75,7.72,28.55,22.19
adam zampa,australia,bowler,right-arm-legbreak,117,7.17,21.01,17.58,29,7.99,19.24,14.45
simarjeet singh,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,9,8.63,28.78,20.0
brydon carse,england,bowler,right-arm-fast,15,8.07,15.07,11.2,0,0.0,0.0,0.0
jaydev unadkat,india,bowler,left-arm-fast-medium,14,8.68,21.5,14.86,99,8.98,32.21,21.53
