name,country,role,bowl_style,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr
deepak chahar,india,bowler,right-arm-fast-medium,31,8.3,24.1,17.42,77,7.98,28.84,21.68
lizaad williams,south africa,bowler,right-arm-fast-medium,20,9.5,24.55,15.5,1,12.0,72.0,36.0
karn sharma,india,bowler,right-arm-legbreak,1,7.0,28.0,24.0,76,8.38,27.46,19.67
yuzvendra chahal,india,bowler,right-arm-legbreak,96,8.19,25.09,18.38,205,7.84,22.45,17.18
arshdeep singh,india,bowler,left-arm-fast-medium,99,8.3,18.3,13.23,76,9.03,27.0,17.95
vijaykumar vyshak,india,bowler,right-arm-medium,0,0.0,0.0,0.0,13,10.26,30.38,17.77
xavier bartlett,australia,bowler,right-arm-fast-medium,11,6.85,14.73,12.91,0,0.0,0.0,0.0
tushar deshpande,india,bowler,right-arm-fast-medium,2,9.33,28.0,18.0,42,9.65,29.6,18.4
maheesh theekshana,sri lanka,bowler,right-arm-offbreak,58,6.88,26.57,23.17,25,7.66,31.88,24.96
fazalhaq farooqi,afghanistan,bowler,left-arm-fast-medium,54,6.71,19.09,17.07,6,8.96,37.83,25.33
kwena maphaka,south africa,bowler,left-arm-fast-medium,3,9.98,56.0,33.67,1,14.83,89.0,36.0
akash madhwal,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,19,9.71,22.32,13.79
josh hazlewood,australia,bowler,right-arm-fast-medium,67,7.49,22.1,17.7,35,8.06,23.14,17.23
bhuvneshwar kumar,india,bowler,right-arm-fast-medium,90,6.96,23.1,19.9,181,7.56,27.23,21.6
lungi ngidi,south africa,bowler,right-arm-fast,63,9.24,20.95,13.6,25,8.3,17.92,12.96
mohammed shami,india,bowler,right-arm-fast,27,8.95,28.19,18.89,127,8.44,26.86,19.1
rahul chahar,india,bowler,right-arm-legbreak,7,7.59,23.86,18.86,75,7.72,28.55,22.19
simarjeet singh,india,bowler,right-arm-fast-medium,0,0.0,0.0,0.0,9,8.63,28.78,20.0
brydon carse,england,bowler,right-arm-fast,15,8.07,15.07,11.2,0,0.0,0.0,0.0
